 Spacecraft : ALS2A               
 Pass plan from 2020/10/01 12:00:00.000 to 2020/10/09 00:00:00.000
 
 ******************************************************************************************
 Beginning                End                      Duration (s)  Station(s)
 ******************************************************************************************
 2020/10/01 19:39:08.084  2020/10/01 19:48:43.481   575.4        A2ORAN
 2020/10/01 21:15:36.629  2020/10/01 21:26:07.778   631.1        A2ORAN
 2020/10/02 09:12:48.488  2020/10/02 09:24:06.816   678.3        A2ORAN
 2020/10/02 10:51:43.374  2020/10/02 10:58:11.262   387.9        A2ORAN
 2020/10/02 20:11:28.611  2020/10/02 20:22:29.892   661.3        A2ORAN
 2020/10/02 21:50:18.953  2020/10/02 21:58:24.282   485.3        A2ORAN
 2020/10/03 08:10:09.134  2020/10/03 08:18:28.897   499.8        A2ORAN
 2020/10/03 09:46:10.804  2020/10/03 09:57:08.616   657.8        A2ORAN
 2020/10/03 19:10:17.179  2020/10/03 19:17:03.498   406.3        A2ORAN
 2020/10/03 20:44:33.218  2020/10/03 20:55:50.601   677.4        A2ORAN
 2020/10/04 08:42:29.475  2020/10/04 08:53:06.240   636.8        A2ORAN
 2020/10/04 10:19:59.223  2020/10/04 10:29:25.828   566.6        A2ORAN
 2020/10/04 19:41:41.653  2020/10/04 19:51:27.655   586.0        A2ORAN
 2020/10/04 21:18:21.664  2020/10/04 21:28:45.009   623.3        A2ORAN
 2020/10/05 09:15:28.409  2020/10/05 09:26:47.507   679.1        A2ORAN
 2020/10/05 10:54:34.095  2020/10/05 11:00:36.279   362.2        A2ORAN
 2020/10/05 20:14:06.243  2020/10/05 20:25:11.527   665.3        A2ORAN
 2020/10/05 21:53:10.795  2020/10/05 22:00:56.127   465.3        A2ORAN
 2020/10/06 08:12:42.204  2020/10/06 08:21:19.210   517.0        A2ORAN
 2020/10/06 09:48:52.747  2020/10/06 09:59:45.641   652.9        A2ORAN
 2020/10/06 19:12:44.180  2020/10/06 19:19:52.394   428.2        A2ORAN
 2020/10/06 20:47:14.405  2020/10/06 20:58:30.117   675.7        A2ORAN
 2020/10/07 08:45:07.054  2020/10/07 08:55:50.440   643.4        A2ORAN
 2020/10/07 10:22:43.805  2020/10/07 10:31:58.462   554.7        A2ORAN
 2020/10/07 19:44:15.482  2020/10/07 19:54:11.417   595.9        A2ORAN
 2020/10/07 21:21:06.971  2020/10/07 21:31:21.792   614.8        A2ORAN
 2020/10/08 07:44:31.893  2020/10/08 07:47:39.972   188.1        A2ORAN
 2020/10/08 09:18:08.364  2020/10/08 09:29:27.731   679.4        A2ORAN
 2020/10/08 10:57:25.946  2020/10/08 11:02:59.693   333.7        A2ORAN
 2020/10/08 20:16:44.048  2020/10/08 20:27:52.839   668.8        A2ORAN
 2020/10/08 21:56:03.497  2020/10/08 22:03:26.949   443.5        A2ORAN
