 Spacecraft : ALS2B               
 Pass plan from 2020/10/06 12:00:00.000 to 2020/10/14 00:00:00.000
 
 ******************************************************************************************
 Beginning                End                      Duration (s)  Station(s)
 ******************************************************************************************
 2020/10/06 12:05:24.835  2020/10/06 12:10:29.055   304.2        A2ORAN
 2020/10/06 19:49:44.525  2020/10/06 19:54:58.211   313.7        A2OUAR
 2020/10/06 21:23:08.640  2020/10/06 21:35:41.873   753.2        A2OUAR + A2ORAN
 2020/10/06 23:04:06.646  2020/10/06 23:11:02.554   415.9        A2ORAN
 2020/10/07 09:22:59.228  2020/10/07 09:33:45.531   646.3        A2ORAN + A2OUAR
 2020/10/07 10:59:25.371  2020/10/07 11:10:07.097   641.7        A2ORAN + A2OUAR
 2020/10/07 20:20:37.993  2020/10/07 20:30:38.703   600.7        A2OUAR + A2ORAN
 2020/10/07 21:56:53.062  2020/10/07 22:08:57.493   724.4        A2OUAR + A2ORAN
 2020/10/08 09:55:33.495  2020/10/08 10:07:25.623   712.1        A2ORAN + A2OUAR
 2020/10/08 11:33:23.428  2020/10/08 11:42:12.713   529.3        A2ORAN + A2OUAR
 2020/10/08 20:52:51.959  2020/10/08 21:04:49.785   717.8        A2OUAR + A2ORAN
 2020/10/08 22:31:39.150  2020/10/08 22:41:44.564   605.4        A2OUAR + A2ORAN
 2020/10/09 08:53:27.280  2020/10/09 09:02:01.900   514.6        A2OUAR + A2ORAN
 2020/10/09 10:28:40.792  2020/10/09 10:40:20.079   699.3        A2ORAN + A2OUAR
 2020/10/09 12:08:25.111  2020/10/09 12:12:53.839   268.7        A2ORAN
 2020/10/09 19:52:11.408  2020/10/09 19:57:56.877   345.5        A2OUAR + A2ORAN
 2020/10/09 21:25:54.238  2020/10/09 21:38:27.781   753.5        A2OUAR + A2ORAN
 2020/10/09 23:07:06.820  2020/10/09 23:13:36.157   389.3        A2ORAN
 2020/10/10 09:25:38.846  2020/10/10 09:36:34.450   655.6        A2ORAN + A2OUAR
 2020/10/10 11:02:12.676  2020/10/10 11:12:48.118   635.4        A2ORAN + A2OUAR
 2020/10/10 20:23:15.515  2020/10/10 20:33:30.275   614.8        A2OUAR + A2ORAN
 2020/10/10 21:59:42.818  2020/10/10 22:11:41.265   718.4        A2OUAR + A2ORAN
 2020/10/11 08:25:45.322  2020/10/11 08:28:06.471   141.1        A2OUAR
 2020/10/11 09:58:16.662  2020/10/11 10:10:10.468   713.8        A2ORAN + A2OUAR
 2020/10/11 11:36:13.744  2020/10/11 11:44:48.965   515.2        A2ORAN + A2OUAR
 2020/10/11 20:55:34.013  2020/10/11 21:07:37.590   723.6        A2OUAR + A2ORAN
 2020/10/11 22:34:36.205  2020/10/11 22:44:25.241   589.0        A2OUAR + A2ORAN
 2020/10/12 08:56:05.240  2020/10/12 09:04:56.269   531.0        A2OUAR + A2ORAN
 2020/10/12 10:31:26.106  2020/10/12 10:43:01.032   694.9        A2ORAN + A2OUAR
 2020/10/12 12:11:28.374  2020/10/12 12:15:15.187   226.8        A2ORAN
 2020/10/12 19:54:39.983  2020/10/12 20:00:53.740   373.8        A2OUAR + A2ORAN
 2020/10/12 21:28:40.014  2020/10/12 21:41:13.379   753.4        A2OUAR + A2ORAN
 2020/10/12 23:10:08.486  2020/10/12 23:16:08.120   359.6        A2ORAN
 2020/10/13 09:28:18.767  2020/10/13 09:39:22.852   664.1        A2ORAN + A2OUAR
 2020/10/13 11:05:00.036  2020/10/13 11:15:28.684   628.6        A2ORAN + A2OUAR
 2020/10/13 20:25:53.380  2020/10/13 20:36:21.232   627.9        A2OUAR + A2ORAN
 2020/10/13 22:02:32.864  2020/10/13 22:14:24.699   711.8        A2OUAR + A2ORAN
